Question,Area,Level,§,ID,1,2,3,4,Pass,GRID ID,Average,Std. Dev.
I accurately estimate how long it will take to complete development tasks.,Vision,1,,v.1.1,Never,Sometimes,Usually,Always,3,v.1.b,,
I need detailed instructions to accomplish my tasks.,Vision,1,,v.1.2,Always,Usually,Sometimes,Never,2,v.1.c,,
I put myself in the user's shoes when building a feature or fixing a bug.,Vision,1,,v.1.3,Never,Sometimes,Usually,Always,3,v.1.a,,
I adapt easily to changing project goals and requirements.,Vision,2,,v.2.1,Never,Sometimes,Usually,Always,3,v.2.a,,
It's difficult for me to understand why project requirements change.,Vision,2,,v.2.2,Always,Usually,Sometimes,Never,3,v.2.b,,
I anticipate the challenges I’ll face when solving a problem.,Vision,2,,v.2.3,Never,Sometimes,Usually,Always,3,v.2.b,,
I build features that are easily maintainable by others in the future.,Vision,2,,v.2.4,Never,Sometimes,Usually,Always,3,v.2.c,,
I track and try to minimize technical debt.,Vision,2,,v.2.5,Never,Sometimes,Usually,Always,3,v.2.c,,
I write code that’s obvious and easy for people to understand.,Vision,2,,v.2.6,Never,Sometimes,Usually,Always,3,v.2.c,,
I put myself in the next developer's shoes when building a feature or fixing a bug.,Vision,2,,v.2.7,Never,Sometimes,Usually,Always,3,v.2.c,,
I anticipate different ways a feature may fail.,Vision,2,,v.2.8,Never,Sometimes,Usually,Always,3,v.2.b,,
I recognize when a solution is moving in the wrong direction.,Vision,2,,v.2.9,Never,Sometimes,Usually,Always,3,v.2.a,,
I help clients build effective long-term strategy.,Vision,3,,v.3.1,Never,Sometimes,Often,Regularly,3,v.3.c,,
I put myself in the client's shoes when building a feature or fixing a bug.,Vision,3,,v.3.2,Never,Sometimes,Usually,Always,3,v.3.c,,
I understand the problems my clients are trying to solve.,Vision,3,,v.3.3,Not at all,Somewhat,Mostly,Completely,3,v.3.b,,
I put the client’s needs over personal preference.,Vision,3,,v.3.4,Never,Sometimes,Usually,Always,3,v.3.b,,
I will disagree with a client in order to benefit that client.,Vision,3,,v.3.5,Never,Sometimes,Usually,Always,2,v.3.c,,
I value feature completion over perfection.,Vision,3,,v.3.6,Never,Sometimes,Usually,Always,3,v.3.a,,
I think broadly about problems to create solutions that cover a variety of use cases.,Vision,3,,v.3.7,Never,Sometimes,Usually,Always,3,v.3.a,,
I successfully balance requests from the client with the constraints of the team.,Vision,4,,v.4.1,Never,Sometimes,Usually,Always,3,v.4.a,,
I identify threats to the company and our core values.,Vision,4,,v.4.2,Never,Sometimes,Often,Regularly,3,v.4.c,,
I help the company build effective long-term strategy.,Vision,4,,v.4.3,Never,Sometimes,Often,Regularly,3,v.4.b,,
I initiate efforts that contribute to company direction.,Vision,4,,v.4.4,Never,Sometimes,Often,Regularly,3,v.4.b,,
I identify external factors that may affect the company’s success.,Vision,4,,v.4.5,Never,Sometimes,Often,Regularly,3,v.4.c,,
I am surprised when clients’ needs change.,Vision,4,,v.4.6,Always,Usually,Sometimes,Never,3,v.4.a,,
I communicate my thoughts clearly.,Leadership,1,,l.1.1,Never,Sometimes,Usually,Always,3,l.1.d,,
I am comfortable expressing conflicting opinions.,Leadership,1,,l.1.2,Never,Sometimes,Usually,Always,3,l.1.d,,
I have a mentor and we meet regularly.,Leadership,1,,l.1.3,0,,,1,1,l.1.c,,
I practice test-driven development.,Leadership,1,,l.1.4,Never,Sometimes,Usually,Always,3,l.1.a,,
I organize my time to maintain a sustainable pace.,Leadership,1,,l.1.5,Never,Sometimes,Usually,Always,3,l.1.a,,
I submit pull requests with detailed descriptions.,Leadership,1,,l.1.6,Never,Sometimes,Usually,Always,3,l.1.b,,
I write descriptive commit messages that include the “what” and the “why.”,Leadership,1,,l.1.7,Never,Sometimes,Usually,Always,3,l.1.b,,
I take shortcuts when project process feels too heavy.,Leadership,1,,l.1.8,Always,Usually,Sometimes,Never,3,l.1.a,,
I take responsibility for my decisions.,Leadership,1,,l.1.9,Never,Sometimes,Usually,Always,3,l.1.e,,
I own up to my mistakes.,Leadership,1,,l.1.10,Never,Sometimes,Usually,Always,3,l.1.e,,
I stay focused on the task at hand.,Leadership,1,,l.1.11,Never,Sometimes,Usually,Always,3,l.1.a,,
I am a positive person.,Leadership,1,,l.1.12,Never,Sometimes,Usually,Always,3,l.1.b,,
I consider people’s feelings in my communications.,Leadership,2,,l.2.1,Never,Sometimes,Usually,Always,3,l.2.c,,
I use my knowledge to unblock others.,Leadership,2,,l.2.2,Never,Sometimes,Often,Regularly,3,l.2.a,,
I am a mentor and I meet with my mentee(s) regularly.,Leadership,2,,l.2.3,0,,,1,3,l.2.b,,
I avoid important conversations that will cause conflict.,Leadership,2,,l.2.4,Always,Usually,Sometimes,Never,3,l.2.c,,
I proactively find ways to help my teammates.,Leadership,2,,l.2.5,Never,Sometimes,Often,Regularly,3,l.2.a,,
I am respectful.,Leadership,2,,l.2.6,Never,Sometimes,Usually,Always,3,l.2.c,,
I treat my teammates as equals.,Leadership,2,,l.2.7,Never,Sometimes,Usually,Always,3,l.2.c,,
I respect my clients’ expertise.,Leadership,2,,l.2.8,Never,Sometimes,Usually,Always,3,l.2.c,,
I use uplifting language when communicating publicly.,Leadership,2,,l.2.9,Never,Sometimes,Usually,Always,3,l.2.a,,
I reserve personal criticism for private conversations.,Leadership,2,,l.2.10,Never,Sometimes,Usually,Always,3,l.2.a,,
I publicly praise others.,Leadership,2,,l.2.11,Never,Sometimes,Often,Regularly,3,l.2.a,,
I consider the perspectives of everybody involved when making decisions.,Leadership,3,,l.3.1,Never,Sometimes,Usually,Always,3,l.3.b,,
I work to find out what motivates people.,Leadership,3,,l.3.2,Never,Sometimes,Often,Regularly,3,l.3.a,,
I motivate others to grow and succeed.,Leadership,3,,l.3.3,Never,Sometimes,Usually,Always,3,l.3.a,,
I stay calm when something goes wrong unexpectedly.,Leadership,3,,l.3.4,Never,Sometimes,Usually,Always,3,l.3.d,,
I reassure others when problems arise.,Leadership,3,,l.3.5,Never,Sometimes,Usually,Always,3,l.3.d,,
I tailor my communication to be understood by different individuals.,Leadership,3,,l.3.6,Never,Sometimes,Usually,Always,3,l.3.d,,
I create environments where everyone feels comfortable communicating their opinions.,Leadership,3,,l.3.7,Never,Sometimes,Usually,Always,3,l.3.d,,
I create and engage conflict when it’s necessary for growth.,Leadership,3,,l.3.8,Never,Sometimes,Usually,Always,3,l.3.d,,
I facilitate difficult discussions to help others process their conflicts.,Leadership,3,,l.3.9,Never,Sometimes,Often,Regularly,3,l.3.d,,
I promote a psychologically safe work environment.,Leadership,3,,l.3.10,Never,Sometimes,Usually,Always,3,l.3.d,,
I demonstrate and coach others to have safe and constructive communication.,Leadership,3,,l.3.11,Never,Sometimes,Usually,Always,3,l.3.d,,
I excite people about working here.,Leadership,3,,l.3.12,Never,Sometimes,Usually,Always,3,l.3.a,,
I take responsibility for my team’s decisions.,Leadership,3,,l.3.13,Never,Sometimes,Usually,Always,3,l.3.b,,
I work proactively to prevent issues.,Leadership,3,,l.3.14,Never,Sometimes,Usually,Always,3,l.3.c,,
I create initiatives to address issues within the company.,Leadership,3,,l.3.15,Never,Sometimes,Often,Regularly,2,l.3.c,,
I create excitement in the community about our company.,Leadership,4,,l.4.1,Never,Sometimes,Often,Regularly,3,l.4.a,,
I act and speak in ways that make people want to work with our company.,Leadership,4,,l.4.2,Never,Sometimes,Usually,Always,3,l.4.a,,
I find and provide opportunities for others.,Leadership,4,,l.4.3,Never,Sometimes,Often,Regularly,3,l.4.b,,
I identify and elevate leaders in the company.,Leadership,4,,l.4.4,Never,Sometimes,Often,Regularly,3,l.4.b,,
I identify opportunities for people to expand their skills.,Leadership,4,,l.4.5,Never,Sometimes,Often,Regularly,3,l.4.b,,
I am an influencer in the development community.,Leadership,4,,l.4.6,Not at all,Somewhat,Significantly,Absolutely,3,l.4.c,,
I coordinate the efforts of others in the open source community.,Leadership,4,,l.4.7,Never,Sometimes,Often,Regularly,3,l.4.c,,
I create tools that change the way developers work.,Leadership,4,,l.4.8,Never,Sometimes,Often,Regularly,3,l.4.c,,
"I say, “Thank you.”",Collaboration,1,,c.1.1,Never,Sometimes,Often,Regularly,3,c.1.a,,
I value other people’s thoughts and opinions.,Collaboration,1,,c.1.2,Never,Sometimes,Usually,Always,3,c.1.b,,
I am confident that my way is the correct way.,Collaboration,1,,c.1.3,Always,Usually,Sometimes,Never,3,c.1.b,,
I understand the roles of others on my teams.,Collaboration,1,,c.1.4,Not at all,Somewhat,Mostly,Completely,3,c.1.b,,
I understand my roles on my teams.,Collaboration,1,,c.1.5,Not at all,Somewhat,Mostly,Completely,3,c.1.b,,
I learn from my teammates.,Collaboration,1,,c.1.6,Never,Sometimes,Often,Regularly,3,c.1.c,,
I communicate when I’m stuck on a task.,Collaboration,1,,c.1.7,Never,Sometimes,Usually,Always,3,c.1.c,,
